No_of_Rooms,Unit_Type,Property_Category,Locality,Price_INR,Area_sqft,Furnishing_Status,Has_Pool,Has_Gym,Has_Parking,Has_Lift,Close_to_Hospital,Power_Backup,Kids_Play_Area,Price_per_sqft
1.0,BHK,Flat,Kondapur,12695,545,areaUn-furnished,No,No,No,No,Yes,No,No,23.293577981651374
3.0,BHK,Flat,Puppalaguda,30000,1400,areaSemi furnished,No,No,Yes,Yes,No,No,No,21.428571428571427
1.0,BHK,Flat,Kondapur,16211,800,areaSemi furnished,No,No,No,No,No,No,No,20.26375
1.0,BHK,Flat,Kondapur,15654,800,areaSemi furnished,No,No,No,No,No,No,No,19.5675
2.0,BHK,Flat,Kondapur,25077,1100,areaUn-furnished,No,No,No,No,No,No,No,22.797272727272727
1.0,BHK,Flat,Hafeezpet,15111,800,areaSemi furnished,No,No,No,No,No,No,No,18.88875
2.0,BHK,Flat,Kondapur,27000,1125,areaSemi furnished,No,No,No,No,No,No,No,24.0
1.0,RK,Flat,Kondapur,14500,532,areaUn-furnished,No,No,No,No,Yes,No,No,27.25563909774436
2.5,BHK,Flat,Puppalaguda,22000,1400,areaSemi furnished,No,No,Yes,Yes,No,No,No,15.714285714285714
1.0,BHK,Flat,Madhapur,25000,800,areaFully furnished,No,No,No,No,No,No,No,31.25
4.0,BHK,Villa,Rai Durg,150000,4070,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,36.85503685503686
1.0,BHK,Flat,Kondapur,15277,800,areaSemi furnished,No,No,No,No,No,No,No,19.09625
2.5,BHK,Flat,Borabanda,49000,1600,areaSemi furnished,No,No,Yes,No,No,No,No,30.625
2.0,BHK,Flat,Kondapur,27000,1150,areaSemi furnished,No,No,No,No,No,No,No,23.47826086956522
3.0,BHK,Flat,Puppalaguda,30000,1850,areaSemi furnished,No,No,Yes,Yes,No,No,No,16.216216216216218
1.0,BHK,Flat,Shilpa Hills,17000,782,areaSemi furnished,No,No,No,No,Yes,No,No,21.73913043478261
3.0,BHK,Flat,Rai Durg,180000,2595,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,69.36416184971098
1.0,BHK,Flat,Kondapur,25000,153,areaFully furnished,No,No,No,No,No,No,No,163.3986928104575
1.0,BHK,Flat,Kondapur,17000,800,areaSemi furnished,No,No,No,No,No,No,No,21.25
3.0,BHK,Flat,Narsingi,80000,2020,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,39.603960396039604
2.0,BHK,Flat,Madhapur,46000,1300,areaFully furnished,No,No,Yes,No,No,No,No,35.38461538461539
2.0,BHK,Flat,Kondapur,32000,1200,areaSemi furnished,No,No,No,No,No,No,No,26.666666666666668
