No_of_Rooms,Unit_Type,Property_Category,Locality,Price_INR,Area_sqft,Furnishing_Status,Has_Pool,Has_Gym,Has_Parking,Has_Lift,Close_to_Hospital,Power_Backup,Kids_Play_Area,Price_per_sqft
1.0,RK,Flat,Kondapur,10500,682,areaUn-furnished,No,No,No,No,No,No,No,15.395894428152493
2.0,BHK,Flat,Puppalaguda,32000,1200,areaSemi furnished,No,Yes,Yes,Yes,No,Yes,No,26.666666666666668
3.0,BHK,Flat,Kondapur,35000,1746,areaFully furnished,No,No,No,No,Yes,No,No,20.04581901489118
1.0,BHK,Flat,Kondapur,23000,798,areaFully furnished,No,No,No,No,Yes,No,No,28.82205513784461
1.0,BHK,Flat,Kondapur,15000,751,areaUn-furnished,No,No,No,No,No,No,No,19.97336884154461
2.0,BHK,Flat,Kondapur,22000,1200,areaUn-furnished,No,No,No,No,Yes,No,No,18.333333333333332
2.5,BHK,Flat,Kondapur,35000,1400,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,25.0
2.0,BHK,Flat,Puppalaguda,27000,1200,areaSemi furnished,No,No,Yes,Yes,No,No,No,22.5
1.0,BHK,Flat,Kondapur,16000,785,areaUn-furnished,No,No,No,No,Yes,No,No,20.38216560509554
2.0,BHK,Flat,Kondapur,29500,1150,areaSemi furnished,No,No,No,No,Yes,No,No,25.652173913043477
1.0,BHK,Flat,Kondapur,23000,782,areaFully furnished,No,No,No,No,No,No,No,29.41176470588235
2.0,BHK,Flat,Kondapur,32000,1200,areaSemi furnished,No,No,No,Yes,No,No,No,26.666666666666668
1.0,BHK,Flat,Kondapur,16000,800,areaSemi furnished,No,No,No,No,Yes,No,No,20.0
2.0,BHK,Flat,Himayath Nagar,22500,1060,areaSemi furnished,No,No,Yes,No,No,No,No,21.22641509433962
2.5,BHK,Flat,Sanjeeva Reddy Nagar,22000,1200,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,18.333333333333332
1.0,BHK,Flat,Himayath Nagar,17100,810,areaSemi furnished,No,No,Yes,No,No,No,No,21.11111111111111
3.0,BHK,Flat,Puppalaguda,39900,1850,areaSemi furnished,No,Yes,Yes,Yes,No,Yes,No,21.56756756756757
1.0,BHK,Flat,Kondapur,24000,850,areaFully furnished,No,No,No,No,No,No,No,28.235294117647058
3.0,BHK,Flat,Narsingi,85000,2335,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,36.40256959314775
1.0,BHK,Flat,Kondapur,19000,800,areaFully furnished,No,No,No,No,Yes,No,No,23.75
1.0,BHK,Flat,Sanjeeva Reddy Nagar,12000,555,areaUn-furnished,No,No,Yes,No,No,No,No,21.62162162162162
2.0,BHK,Flat,Narayanguda,23200,1240,areaSemi furnished,No,No,Yes,No,No,No,No,18.70967741935484
1.0,BHK,Flat,Kondapur,17500,785,areaSemi furnished,No,No,No,No,No,No,No,22.29299363057325
1.0,BHK,Flat,Himayath Nagar,16000,800,areaSemi furnished,No,No,Yes,No,No,No,No,20.0
2.0,BHK,Flat,Kondapur,22000,1100,areaSemi furnished,No,No,No,No,No,No,No,20.0
1.0,RK,Flat,Hafeezpet,15000,550,areaSemi furnished,No,No,Yes,Yes,No,No,No,27.272727272727273
1.0,BHK,Flat,Kondapur,24500,783,areaFully furnished,No,No,No,No,Yes,No,No,31.28991060025543
3.0,BHK,Flat,Puppalaguda,37000,1800,areaSemi furnished,No,No,Yes,Yes,No,No,No,20.555555555555557
1.0,BHK,Flat,Sanjeeva Reddy Nagar,12000,600,areaSemi furnished,No,No,Yes,Yes,No,No,No,20.0
1.0,BHK,Flat,Kondapur,17500,752,areaSemi furnished,No,No,No,No,Yes,No,No,23.27127659574468
2.0,BHK,Flat,Kondapur,29000,1200,areaSemi furnished,No,No,No,No,Yes,No,No,24.166666666666668
2.0,BHK,Flat,Serilingampally,47000,1297,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,36.237471087124135
1.0,BHK,Flat,Kondapur,20000,782,areaSemi furnished,No,No,No,No,Yes,No,No,25.575447570332482
3.0,BHK,Flat,Madhapur,56000,2200,areaFully furnished,No,No,Yes,Yes,No,Yes,No,25.454545454545453
1.0,BHK,Flat,Kondapur,14000,685,areaUn-furnished,No,No,No,No,No,No,No,20.437956204379564
2.5,BHK,Flat,Sanjeeva Reddy Nagar,21000,1085,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,19.35483870967742
2.5,BHK,Flat,Madhapur,42000,1400,areaFully furnished,No,No,Yes,Yes,No,Yes,No,30.0
2.0,BHK,Flat,Serilingampally,34000,1642,areaSemi furnished,No,No,No,No,Yes,No,No,20.706455542021924
2.0,BHK,Flat,Madhapur,32000,1200,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,26.666666666666668
2.0,BHK,Flat,Madhapur,45000,1800,areaSemi furnished,No,No,Yes,Yes,No,No,No,25.0
1.0,BHK,Flat,Hafeezpet,19000,752,areaFully furnished,No,No,No,No,Yes,No,No,25.26595744680851
1.0,BHK,Flat,Sanjeeva Reddy Nagar,12000,600,areaFully furnished,No,No,Yes,Yes,No,No,No,20.0
2.0,BHK,Flat,Kondapur,40000,1152,areaSemi furnished,No,No,No,No,Yes,No,No,34.72222222222222
3.0,BHK,Flat,Himayath Nagar,75000,2210,areaFully furnished,No,No,Yes,No,No,No,No,33.93665158371041
3.0,BHK,Flat,Narayanguda,40000,1650,areaSemi furnished,No,No,Yes,No,No,No,No,24.242424242424242
1.0,BHK,Flat,Shilpa Hills,24500,762,areaSemi furnished,No,No,No,No,Yes,No,No,32.15223097112861
1.0,BHK,Flat,Kondapur,23500,682,areaSemi furnished,No,No,No,No,Yes,No,No,34.457478005865106
2.0,BHK,Flat,Narsingi,55000,1300,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,42.30769230769231
3.0,BHK,Flat,Hyderguda,38000,1750,areaSemi furnished,No,No,Yes,No,No,No,No,21.714285714285715
1.0,BHK,Flat,Kondapur,23000,695,areaSemi furnished,No,No,No,No,Yes,No,No,33.093525179856115
2.0,BHK,Flat,Kondapur,36000,752,areaFully furnished,No,No,No,No,Yes,No,No,47.87234042553192
3.0,BHK,Flat,Kokapet,65000,1700,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,38.23529411764706
2.0,BHK,Flat,Financial District,55000,1492,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,36.86327077747989
3.0,BHK,Flat,Gachibowli,62000,2160,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,28.703703703703702
1.0,BHK,Flat,Kondapur,15500,762,areaSemi furnished,No,No,No,No,No,No,No,20.341207349081365
3.0,BHK,Flat,Gachibowli,68000,1740,areaUn-furnished,Yes,Yes,Yes,Yes,No,No,No,39.08045977011494
2.0,BHK,Flat,Madhapur,30000,1200,areaFully furnished,No,No,Yes,Yes,No,No,No,25.0
2.5,BHK,Flat,Serilingampally,56000,1496,areaSemi furnished,No,No,Yes,No,No,No,No,37.4331550802139
1.0,BHK,Flat,Hafeezpet,18000,790,areaSemi furnished,No,No,No,No,Yes,No,No,22.78481012658228
2.5,BHK,Flat,Tellapur,45000,1505,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,29.900332225913623
1.0,BHK,Flat,Kondapur,22000,650,areaSemi furnished,No,No,No,No,Yes,No,No,33.84615384615385
2.0,BHK,Flat,Kondapur,31000,1253,areaSemi furnished,No,No,No,No,Yes,No,No,24.740622505985634
5.0,BHK,Villa,Mokila,84000,5600,areaSemi furnished,Yes,Yes,Yes,No,No,Yes,No,15.0
3.0,BHK,Flat,Kondapur,70000,1850,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,37.83783783783784
3.0,BHK,Flat,Madhapur,45000,1900,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,23.68421052631579
1.0,BHK,Flat,Ameerpet,12000,620,areaSemi furnished,No,No,Yes,Yes,No,No,No,19.35483870967742
3.0,BHK,Flat,Gachibowli,60000,1835,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,32.69754768392371
3.0,BHK,Flat,Serilingampally,65000,1500,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,43.333333333333336
3.0,BHK,Flat,Kondapur,30000,1700,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,17.647058823529413
3.0,BHK,Flat,Kondapur,63000,1600,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,39.375
3.0,BHK,Flat,Financial District,52000,1997,areaSemi furnished,No,Yes,Yes,Yes,No,Yes,No,26.039058587881822
3.0,BHK,Flat,Serilingampally,65000,1650,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,39.39393939393939
3.0,BHK,Flat,Gachibowli,65000,1838,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,35.364526659412405
3.0,BHK,Flat,Kondapur,58000,1930,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,30.05181347150259
2.0,BHK,Flat,Kondapur,27000,1150,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,23.47826086956522
2.0,BHK,Flat,Kondapur,30000,1145,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,26.200873362445414
2.0,BHK,Flat,Serilingampally,37500,1150,areaFully furnished,No,No,No,No,Yes,No,No,32.608695652173914
1.0,BHK,Flat,Serilingampally,26000,750,areaFully furnished,No,No,No,Yes,No,No,No,34.666666666666664
2.0,BHK,Flat,Kondapur,48000,1432,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,33.5195530726257
3.0,BHK,Flat,Kondapur,63000,2059,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,30.5973773676542
2.0,BHK,Flat,Kondapur,27000,1050,areaSemi furnished,No,No,No,No,No,No,No,25.714285714285715
3.0,BHK,Flat,Kondapur,35000,1700,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,20.58823529411765
1.0,RK,Flat,Kondapur,15000,550,areaSemi furnished,No,No,No,No,No,No,No,27.272727272727273
2.0,BHK,Flat,Kondapur,30000,1200,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,25.0
2.0,BHK,Flat,Kondapur,28000,1100,areaSemi furnished,No,No,Yes,Yes,No,No,No,25.454545454545453
2.0,BHK,Flat,Kondapur,55000,1324,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,41.54078549848943
3.0,BHK,Flat,Ameerpet,34000,1780,areaSemi furnished,No,No,No,No,No,No,No,19.10112359550562
3.0,BHK,Flat,Kondapur,47000,1842,areaSemi furnished,No,No,No,No,Yes,No,No,25.5157437567861
1.0,BHK,Flat,Kondapur,17000,782,areaSemi furnished,No,No,No,No,Yes,No,No,21.73913043478261
2.0,BHK,Flat,Ameerpet,25000,1230,areaSemi furnished,No,No,No,No,No,No,No,20.32520325203252
3.0,BHK,Flat,Narayanguda,76000,2200,areaSemi furnished,No,No,Yes,No,No,No,No,34.54545454545455
2.0,BHK,Flat,Hyderguda,25000,1200,areaSemi furnished,No,No,Yes,No,No,No,No,20.833333333333332
3.0,BHK,Flat,Ameerpet,40000,1700,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,23.529411764705884
1.0,BHK,Flat,Hafeezpet,19000,1000,areaSemi furnished,No,No,No,No,No,No,No,19.0
1.0,BHK,Flat,Yousufguda,22000,1058,areaFully furnished,No,No,No,Yes,No,No,No,20.793950850661627
1.0,BHK,Flat,Kondapur,17000,450,areaSemi furnished,No,No,No,Yes,No,Yes,No,37.77777777777778
2.0,BHK,Flat,Kondapur,28000,1175,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,23.829787234042552
3.0,BHK,Flat,Himayath Nagar,45000,2000,areaSemi furnished,No,No,Yes,No,No,No,No,22.5
2.0,BHK,Flat,Ameerpet,30000,1212,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,24.752475247524753
2.0,BHK,Flat,Kondapur,30000,1200,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,25.0
2.0,BHK,Flat,Sanjeeva Reddy Nagar,18000,1000,areaUn-furnished,No,No,No,No,No,No,No,18.0
1.0,BHK,Flat,Hafeezpet,18500,800,areaSemi furnished,No,Yes,No,No,No,No,No,23.125
1.0,BHK,Flat,Hafeezpet,25000,1200,areaSemi furnished,No,No,No,No,No,No,No,20.833333333333332
3.0,BHK,Flat,Madhapur,60000,1800,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,33.333333333333336
3.0,BHK,Flat,Sanjeeva Reddy Nagar,38000,1850,areaSemi furnished,No,No,No,No,No,No,No,20.54054054054054
3.0,BHK,Flat,Himayath Nagar,43000,1850,areaSemi furnished,No,No,Yes,No,No,No,No,23.243243243243242
2.0,BHK,Flat,Kondapur,40000,1250,areaFully furnished,No,No,Yes,Yes,No,Yes,No,32.0
3.0,BHK,Flat,Puppalaguda,32000,1500,areaSemi furnished,No,No,Yes,Yes,No,No,No,21.333333333333332
2.0,BHK,Flat,Kondapur,40000,1400,areaFully furnished,No,No,No,No,No,No,No,28.571428571428573
1.0,BHK,Flat,Kondapur,21000,850,areaFully furnished,No,No,No,No,No,No,No,24.705882352941178
2.0,BHK,Flat,Madhapur,30000,1300,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,23.076923076923077
2.0,BHK,Flat,Sanjeeva Reddy Nagar,25000,1234,areaSemi furnished,No,No,No,No,No,No,No,20.25931928687196
1.0,BHK,Flat,Kondapur,22000,750,areaSemi furnished,No,No,No,No,No,No,No,29.333333333333332
3.0,BHK,Flat,Sanjeeva Reddy Nagar,32000,1600,areaSemi furnished,No,No,No,No,No,No,No,20.0
2.0,BHK,Flat,Madhapur,40000,1200,areaFully furnished,No,No,Yes,Yes,No,Yes,No,33.333333333333336
1.0,BHK,Flat,Sanjeeva Reddy Nagar,11800,600,areaSemi furnished,No,No,Yes,Yes,No,No,No,19.666666666666668
2.0,BHK,Flat,Ameerpet,21000,1110,areaUn-furnished,No,No,No,Yes,No,No,No,18.91891891891892
2.0,BHK,Flat,Sanjeeva Reddy Nagar,25000,1230,areaSemi furnished,No,No,No,No,No,No,No,20.32520325203252
2.0,BHK,Flat,Ameerpet,26000,1240,areaSemi furnished,No,No,No,No,No,No,No,20.967741935483872
2.0,BHK,Flat,Sanjeeva Reddy Nagar,27000,1212,areaSemi furnished,No,No,No,No,No,No,No,22.277227722772277
1.0,BHK,Flat,Hafeezpet,21000,1000,areaSemi furnished,No,No,No,No,No,No,No,21.0
1.0,BHK,Flat,Hafeezpet,22000,1050,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,20.952380952380953
1.0,BHK,Flat,Kondapur,17000,1040,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,16.346153846153847
3.0,BHK,Flat,Manikonda,46000,1900,areaSemi furnished,No,No,Yes,Yes,No,No,No,24.210526315789473
3.0,BHK,Flat,Sanjeeva Reddy Nagar,34000,1680,areaSemi furnished,No,No,No,No,No,No,No,20.238095238095237
3.0,BHK,Flat,Kondapur,55000,1900,areaFully furnished,No,No,Yes,Yes,No,Yes,Yes,28.94736842105263
1.0,BHK,Flat,Sanjeeva Reddy Nagar,11300,660,areaUn-furnished,No,No,No,Yes,No,No,No,17.12121212121212
4.0,BHK,Flat,Financial District,60000,2644,areaSemi furnished,No,Yes,Yes,Yes,No,Yes,No,22.692889561270803
2.0,BHK,Flat,Serilingampally,38000,1300,areaFully furnished,No,No,Yes,Yes,No,No,No,29.23076923076923
2.0,BHK,Flat,Sanjeeva Reddy Nagar,23000,1280,areaSemi furnished,No,No,No,Yes,No,No,No,17.96875
1.0,BHK,Flat,Hafeezpet,14300,800,areaUn-furnished,No,No,No,Yes,No,Yes,No,17.875
1.0,BHK,Flat,Sanjeeva Reddy Nagar,11500,620,areaUn-furnished,No,No,No,Yes,No,No,No,18.548387096774192
1.0,BHK,Flat,Sanjeeva Reddy Nagar,17500,602,areaFully furnished,No,No,No,Yes,No,No,No,29.069767441860463
4.0,BHK,Flat,Financial District,250000,4760,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,52.52100840336134
1.0,BHK,Flat,Kondapur,17000,1068,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,15.917602996254681
3.0,BHK,Flat,Gachibowli,80000,2000,areaSemi furnished,No,No,Yes,No,No,No,No,40.0
2.0,BHK,Flat,Kondapur,38000,1250,areaFully furnished,No,No,Yes,Yes,No,Yes,No,30.4
3.0,BHK,Flat,Madhapur,50000,1800,areaSemi furnished,No,No,Yes,No,No,No,No,27.77777777777778
3.0,BHK,Flat,Puppalaguda,42000,1850,areaSemi furnished,No,No,Yes,Yes,No,No,No,22.7027027027027
2.0,BHK,Flat,Sanjeeva Reddy Nagar,18500,1200,areaUn-furnished,No,No,No,Yes,No,No,No,15.416666666666666
1.0,BHK,Flat,Kondapur,23000,750,areaFully furnished,No,No,No,No,No,No,No,30.666666666666668
1.0,BHK,Flat,Hafeezpet,18000,800,areaSemi furnished,No,No,No,Yes,No,Yes,No,22.5
2.0,BHK,Flat,Sanjeeva Reddy Nagar,21000,1200,areaUn-furnished,No,No,No,Yes,No,No,No,17.5
3.0,BHK,Flat,Khaja Guda,48000,1750,areaSemi furnished,No,No,Yes,Yes,No,No,No,27.428571428571427
3.0,BHK,Flat,Khaja Guda,45000,2025,areaSemi furnished,No,No,Yes,Yes,No,No,No,22.22222222222222
1.0,BHK,Flat,Hafeezpet,12000,700,areaUn-furnished,No,No,No,No,Yes,No,No,17.142857142857142
3.0,BHK,Flat,Madhapur,43000,1800,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,23.88888888888889
3.0,BHK,Flat,Madhapur,46000,1900,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,24.210526315789473
2.0,BHK,Flat,Madhapur,40000,1202,areaFully furnished,No,No,Yes,Yes,No,Yes,No,33.277870216306155
3.0,BHK,Flat,Madhapur,40000,1700,areaSemi furnished,No,No,Yes,No,No,No,No,23.529411764705884
2.0,BHK,Flat,Kondapur,38000,1200,areaFully furnished,No,No,Yes,Yes,No,Yes,No,31.666666666666668
2.0,BHK,Flat,Madhapur,43000,1200,areaFully furnished,No,No,Yes,Yes,No,Yes,No,35.833333333333336
4.0,BHK,Independent,Madhapur,180000,3500,areaSemi furnished,No,No,Yes,No,No,No,No,51.42857142857143
3.0,BHK,Flat,Serilingampally,43000,1650,areaSemi furnished,No,No,No,Yes,Yes,No,No,26.060606060606062
1.0,BHK,Flat,Madhapur,28000,750,areaFully furnished,No,No,Yes,No,No,No,No,37.333333333333336
1.0,BHK,Flat,Kondapur,13600,780,areaUn-furnished,No,No,Yes,Yes,No,No,No,17.435897435897434
3.0,BHK,Flat,Hitech City,60000,1900,areaFully furnished,No,No,Yes,No,No,No,No,31.57894736842105
1.0,BHK,Flat,Hafeezpet,25000,750,areaFully furnished,No,No,No,Yes,No,No,No,33.333333333333336
3.0,BHK,Flat,Banjara Hills,95000,3032,areaSemi furnished,No,No,Yes,No,No,No,No,31.33245382585752
2.0,BHK,Flat,Kondapur,35000,1800,areaSemi furnished,No,No,Yes,No,No,No,No,19.444444444444443
2.0,BHK,Flat,Madhapur,42000,1201,areaFully furnished,No,No,Yes,Yes,No,Yes,No,34.970857618651124
2.0,BHK,Flat,Kothaguda,42000,1650,areaFully furnished,No,No,Yes,No,No,No,No,25.454545454545453
2.0,BHK,Flat,Madhapur,36000,1105,areaFully furnished,No,No,Yes,Yes,No,Yes,No,32.57918552036199
4.0,BHK,Flat,Kokapet,450007,9166,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,49.095243290421124
3.0,BHK,Flat,Kondapur,37000,1750,areaSemi furnished,No,No,No,No,Yes,No,No,21.142857142857142
3.0,BHK,Flat,Madhapur,40000,1600,areaSemi furnished,No,No,Yes,No,No,No,No,25.0
2.0,BHK,Flat,Madhapur,36000,1100,areaFully furnished,No,No,Yes,Yes,No,Yes,No,32.72727272727273
1.0,BHK,Flat,Kondapur,22001,550,areaFully furnished,No,No,No,No,Yes,No,No,40.00181818181818
2.0,BHK,Flat,Kondapur,25000,1105,areaSemi furnished,No,No,No,No,Yes,No,No,22.624434389140273
2.0,BHK,Flat,Madhapur,45000,950,areaFully furnished,No,No,Yes,Yes,No,Yes,No,47.36842105263158
3.0,BHK,Flat,Madhapur,40000,1900,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,21.05263157894737
3.0,BHK,Flat,Madhapur,60000,2000,areaFully furnished,No,No,Yes,No,No,No,No,30.0
3.0,BHK,Flat,Banjara Hills,85000,2477,areaSemi furnished,No,No,Yes,No,No,No,No,34.31570448122729
1.0,BHK,Flat,Hafeezpet,16500,650,areaSemi furnished,No,No,No,No,Yes,No,No,25.384615384615383
2.0,BHK,Flat,Madhapur,45000,1250,areaFully furnished,No,No,Yes,No,No,No,No,36.0
2.0,BHK,Flat,Madhapur,40000,1205,areaFully furnished,No,No,Yes,Yes,No,Yes,No,33.19502074688797
3.0,BHK,Flat,Serilingampally,55000,1650,areaFully furnished,No,No,No,No,Yes,No,No,33.333333333333336
1.0,BHK,Flat,Kondapur,18500,700,areaSemi furnished,No,No,No,Yes,No,No,No,26.428571428571427
2.0,BHK,Flat,Kondapur,38000,1200,areaFully furnished,No,No,No,No,Yes,No,No,31.666666666666668
2.0,BHK,Flat,Hafeezpet,34000,1350,areaFully furnished,No,No,No,No,Yes,No,No,25.185185185185187
2.0,BHK,Flat,Kondapur,32000,1150,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,27.82608695652174
1.0,BHK,Flat,Hafeezpet,13800,700,areaUn-furnished,No,No,No,No,No,No,No,19.714285714285715
1.0,RK,Flat,Kondapur,18000,512,areaFully furnished,No,No,No,No,Yes,No,No,35.15625
1.0,BHK,Flat,Kondapur,24500,550,areaFully furnished,No,No,No,No,Yes,No,No,44.54545454545455
1.0,BHK,Flat,Kondapur,22000,950,areaFully furnished,No,No,No,No,No,No,No,23.157894736842106
3.0,BHK,Flat,Madhapur,45000,2000,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,22.5
2.0,BHK,Flat,Hafeezpet,23000,1250,areaUn-furnished,No,No,No,No,No,No,No,18.4
1.0,BHK,Flat,Kondapur,19000,900,areaSemi furnished,No,No,No,No,Yes,No,No,21.11111111111111
2.0,BHK,Flat,Serilingampally,30000,1350,areaSemi furnished,No,No,No,No,Yes,No,No,22.22222222222222
1.0,BHK,Flat,Madhapur,30000,800,areaFully furnished,No,No,Yes,No,No,No,No,37.5
2.0,BHK,Flat,Hafeezpet,27000,1300,areaSemi furnished,No,No,No,No,No,No,No,20.76923076923077
1.0,BHK,Flat,Hafeezpet,15000,750,areaSemi furnished,No,No,No,No,Yes,No,No,20.0
3.0,BHK,Flat,Kondapur,42000,1850,areaSemi furnished,No,No,No,No,Yes,No,No,22.7027027027027
4.0,BHK,Villa,Mokila,85000,4800,areaSemi furnished,Yes,Yes,No,Yes,No,Yes,No,17.708333333333332
1.0,BHK,Flat,Hafeezpet,22000,750,areaSemi furnished,No,No,No,Yes,No,No,No,29.333333333333332
2.0,BHK,Flat,Hafeezpet,28000,1300,areaSemi furnished,No,No,No,No,Yes,No,No,21.53846153846154
1.0,BHK,Flat,Hafeezpet,17000,750,areaSemi furnished,No,No,No,No,Yes,No,No,22.666666666666668
1.0,BHK,Flat,Hafeezpet,16000,700,areaUn-furnished,No,No,No,No,Yes,No,No,22.857142857142858
1.0,BHK,Flat,Kothaguda,27000,800,areaFully furnished,No,No,No,No,No,No,No,33.75
1.0,RK,Flat,Kondapur,18000,750,areaFully furnished,No,No,No,No,No,No,No,24.0
2.0,BHK,Flat,Madhapur,33000,1250,areaSemi furnished,No,No,Yes,No,No,No,No,26.4
1.0,RK,Flat,Kondapur,18500,550,areaFully furnished,No,No,No,No,No,No,No,33.63636363636363
2.0,BHK,Flat,Kondapur,30000,1200,areaSemi furnished,No,No,No,No,No,No,No,25.0
1.0,BHK,Flat,Kondapur,24500,700,areaFully furnished,No,No,No,No,Yes,No,No,35.0
2.0,BHK,Flat,Kondapur,33000,1210,areaSemi furnished,No,No,No,No,No,No,No,27.272727272727273
1.0,BHK,Flat,Hafeezpet,15000,750,areaUn-furnished,No,No,No,No,No,No,No,20.0
2.0,BHK,Flat,Madhapur,36000,1200,areaFully furnished,No,No,Yes,Yes,No,Yes,No,30.0
2.0,BHK,Flat,Madhapur,38000,1200,areaFully furnished,No,No,Yes,Yes,No,Yes,No,31.666666666666668
1.0,BHK,Flat,Kondapur,21000,750,areaSemi furnished,No,No,No,No,No,Yes,No,28.0
1.0,BHK,Flat,Hafeezpet,24000,700,areaFully furnished,No,No,No,No,No,No,No,34.285714285714285
1.0,BHK,Flat,Hafeezpet,19000,750,areaSemi furnished,No,No,No,No,Yes,No,No,25.333333333333332
1.0,BHK,Flat,Hafeezpet,14700,700,areaUn-furnished,No,No,No,Yes,No,No,No,21.0
1.0,BHK,Flat,Hafeezpet,22000,700,areaFully furnished,No,No,No,No,No,No,No,31.428571428571427
1.0,BHK,Flat,Hafeezpet,18000,700,areaSemi furnished,No,No,No,Yes,No,No,No,25.714285714285715
1.0,BHK,Flat,Kondapur,23000,750,areaSemi furnished,No,No,No,No,No,No,No,30.666666666666668
1.0,BHK,Flat,Hafeezpet,15500,700,areaUn-furnished,No,No,No,No,Yes,No,No,22.142857142857142
1.0,BHK,Flat,Hafeezpet,14500,700,areaUn-furnished,No,No,No,No,No,No,No,20.714285714285715
1.0,BHK,Flat,Madhapur,26000,600,areaFully furnished,No,No,Yes,No,No,No,No,43.333333333333336
2.0,BHK,Flat,Kondapur,38000,1100,areaFully furnished,No,No,No,No,Yes,No,No,34.54545454545455
2.0,BHK,Flat,Madhapur,37000,1200,areaFully furnished,No,No,Yes,Yes,No,Yes,No,30.833333333333332
3.0,BHK,Flat,Puppalaguda,38000,1800,areaSemi furnished,No,No,Yes,Yes,No,No,No,21.11111111111111
1.0,BHK,Flat,Madhapur,28000,701,areaFully furnished,No,No,Yes,No,No,Yes,No,39.94293865905849
2.0,BHK,Flat,Serilingampally,33000,1350,areaSemi furnished,No,No,No,No,Yes,No,No,24.444444444444443
5.0,BHK,Villa,Mokila,80000,4800,areaSemi furnished,Yes,Yes,Yes,No,No,Yes,No,16.666666666666668
3.0,BHK,Flat,Kondapur,60000,2300,areaFully furnished,No,No,No,No,No,No,No,26.08695652173913
1.0,BHK,Flat,Kondapur,24000,794,areaFully furnished,No,No,No,No,Yes,No,No,30.22670025188917
2.0,BHK,Flat,Madhapur,39000,1200,areaFully furnished,No,No,Yes,Yes,No,Yes,No,32.5
1.0,BHK,Flat,Kondapur,21000,512,areaSemi furnished,No,No,No,No,Yes,No,No,41.015625
1.0,BHK,Flat,Kondapur,24000,900,areaFully furnished,No,No,Yes,Yes,No,Yes,No,26.666666666666668
3.0,BHK,Flat,Kondapur,43000,1765,areaSemi furnished,No,No,No,No,Yes,No,No,24.362606232294617
2.0,BHK,Flat,Madhapur,30000,1050,areaSemi furnished,No,No,Yes,Yes,No,No,No,28.571428571428573
2.0,BHK,Flat,Kondapur,30000,1200,areaSemi furnished,No,No,No,No,Yes,No,No,25.0
1.0,BHK,Flat,Madhapur,28000,702,areaFully furnished,No,No,Yes,No,No,No,No,39.88603988603989
1.0,BHK,Flat,Kondapur,24000,550,areaFully furnished,No,No,No,No,Yes,No,No,43.63636363636363
1.0,BHK,Flat,Madhapur,26000,800,areaFully furnished,No,No,Yes,No,No,No,No,32.5
1.0,BHK,Flat,Madhapur,26000,651,areaFully furnished,No,No,Yes,No,No,No,No,39.93855606758832
1.0,BHK,Flat,Madhapur,28000,700,areaFully furnished,No,No,Yes,No,No,No,No,40.0
1.0,BHK,Flat,Madhapur,27000,650,areaFully furnished,No,No,Yes,No,No,No,No,41.53846153846154
1.0,BHK,Flat,Kondapur,22000,795,areaFully furnished,No,No,No,No,Yes,No,No,27.67295597484277
